,행 레이블,구,전체교통량평균,bins,교통사고건수,속도가중치,결빙사고다발지,위험요소,상습결빙지역건수,,range
0,강남대로,강남구,1187.870491,6,215,1,6,1,0,,6.760807692
1,강남순환로,금천구,1640.678244,0,4,0,0,0,0,,7.921153846
2,강변북로,용산구,4658.53588,0,0,1,0,0,1,,21.38743439
3,강변북로,마포구,4812.33169,0,0,1,0,0,1,,14.19176429
4,강서로,강서구,759.022774,2,130,1,0,0,0,,2.99270903
5,개봉로,구로구,494.4231505,0,0,0,0,0,1,,4.841615385
6,경부고속도로,서초구,3908.324718,2,43,1,0,0,0,,27.81304077
7,경인고속국도,양천구,3407.806748,0,1,1,0,0,0,,13.2871
8,경인로,구로구,998.3005019,0,6,0,0,0,0,,4.385175385
9,경인로,영등포구,1680.524917,0,4,1,0,1,0,,4.474751479
10,경춘북로,중랑구,954.7933305,0,0,0,0,0,0,,6.218807692
11,공항대로,강서구,961.3140613,6,39,1,6,0,0,,3.769425339
12,과천대로,서초구,1294.928381,0,45,1,0,0,0,,9.542384615
13,국회대로,영등포구,1081.820435,1,118,0,0,0,0,,3.818496154
15,남부순환로,관악구,1889.5321,5,283,0,0,0,0,,5.010511538
16,남부순환로,강남구,1851.15071,5,99,0,0,0,0,,4.948375566
17,남부순환로,양천구,2203.4709,0,106,0,0,0,0,,4.78278022
18,남부순환로,서초구,1675.036558,0,115,0,0,1,1,,6.1514
19,내부순환로,성북구,2819.151035,3,71,1,0,0,0,,9.645350962
20,노들로,영등포구,1123.662371,0,51,0,0,0,0,,5.118627404
21,대학로,종로구,721.9109685,1,41,1,0,0,0,,4.099865385
22,도봉로,도봉구,1031.490949,4,109,0,0,0,0,,3.930963563
23,동부간선도로,동대문구,2811.494118,0,49,1,0,0,0,,14.16207692
24,동부간선도로,노원구,2386.110388,0,104,1,0,0,0,,17.06033333
25,동소문로,성북구,1128.431113,4,2,1,0,0,0,,5.078906593
26,동일로,성동구,1315.403979,0,48,1,0,0,0,,8.187307692
27,동작대로,서초구,1676.339705,0,94,0,0,0,0,,8.145076923
28,동호로,중구,1197.023393,0,52,0,0,2,0,,1.925730769
29,뚝섬로,성동구,1274.163422,0,62,0,0,1,1,,4.46891716
30,문성로,관악구,316.2388649,0,23,1,0,0,0,,3.093061538
31,반포대로,서초구,1562.559844,5,8,0,0,0,0,,6.161485207
32,밤고개로,강남구,782.9540551,0,24,0,0,0,0,,6.481012821
33,백제고분로,송파구,723.4963705,2,125,1,0,0,0,,3.451082418
34,북부간선도로,중랑구,2368.626245,0,30,1,0,0,0,,49.51434615
35,북부간선도로,성북구,2173.809594,0,64,1,0,0,0,,15.05573846
36,사직로,종로구,1314.78052,0,5,0,0,3,0,,3.259972028
37,사평대로,서초구,1643.465542,2,140,0,0,1,1,,5.190747253
